percentile	threshold	precision	recall	f1	fpr	auc
95.000000	0.003823	0.557920	1.000000	0.716237	0.105949	0.971052
96.000000	0.003865	0.580764	0.997881	0.734217	0.096317	0.971052
97.000000	0.003945	0.602067	0.987288	0.747994	0.087252	0.971052
98.000000	0.004139	0.616848	0.961864	0.751656	0.079887	0.971052
99.000000	0.004404	0.673313	0.930085	0.781139	0.060340	0.971052
99.100000	0.004455	0.680124	0.927966	0.784946	0.058357	0.971052
99.200000	0.004498	0.687598	0.927966	0.789901	0.056374	0.971052
99.300000	0.004538	0.690363	0.925847	0.790950	0.055524	0.971052
99.400000	0.004599	0.699357	0.921610	0.795247	0.052975	0.971052
99.500000	0.004705	0.707993	0.919492	0.800000	0.050708	0.971052
99.600000	0.004771	0.711443	0.908898	0.798140	0.049292	0.971052
99.700000	0.004834	0.711667	0.904661	0.796642	0.049008	0.971052
99.800000	0.005161	0.719577	0.864407	0.785371	0.045042	0.971052
99.900000	0.005454	0.724528	0.813559	0.766467	0.041360	0.971052
