percentile	threshold	precision	recall	f1	fpr	auc
95.000000	0.004332	0.305913	0.748428	0.434307	0.070258	0.847672
96.000000	0.004495	0.311429	0.685535	0.428291	0.062711	0.847672
97.000000	0.004845	0.314381	0.591195	0.410480	0.053344	0.847672
98.000000	0.005327	0.371429	0.572327	0.450495	0.040073	0.847672
99.000000	0.006146	0.412621	0.534591	0.465753	0.031486	0.847672
99.100000	0.006205	0.420792	0.534591	0.470914	0.030445	0.847672
99.200000	0.006477	0.432292	0.522013	0.472934	0.028363	0.847672
99.300000	0.006565	0.433862	0.515723	0.471264	0.027843	0.847672
99.400000	0.006712	0.438503	0.515723	0.473988	0.027322	0.847672
99.500000	0.006845	0.439560	0.503145	0.469208	0.026542	0.847672
99.600000	0.006983	0.443820	0.496855	0.468843	0.025761	0.847672
99.700000	0.007250	0.450292	0.484277	0.466667	0.024460	0.847672
99.800000	0.007499	0.457831	0.477987	0.467692	0.023419	0.847672
99.900000	0.007856	0.470588	0.452830	0.461538	0.021077	0.847672
