zone,category,n_positive,n_negative,threshold,precision,recall,f1,auc,fpr
zone2,attack_other_zone,260,3531,0.00553389856684953,0.410958904109589,0.23076923076923078,0.2955665024630542,0.5675761932771278,0.024355706598697253
zone2,attack_own_zone,212,3531,0.00553389856684953,0.5763546798029556,0.5518867924528302,0.563855421686747,0.7688011306861597,0.024355706598697253
zone3,attack_other_zone,260,3531,0.005814978173002601,0.07462686567164178,0.019230769230769232,0.03058103975535168,0.6276528767182972,0.017558765222316624
zone3,attack_own_zone,212,3531,0.005814978173002601,0.6555555555555556,0.5566037735849056,0.6020408163265305,0.7757303238699819,0.017558765222316624
zone4,attack_other_zone,260,3531,0.003309946957044322,0.4098360655737705,0.09615384615384616,0.15576323987538943,0.3978312964294273,0.010195412064570943
zone4,attack_own_zone,212,3531,0.003309946957044322,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.9333998600001069,0.010195412064570943
zone2,line_trip_bus17,77,3772,0.00553389856684953,0.2682926829268293,1.0,0.4230769230769231,1.0,0.05567338282078473
zone2,line_trip_bus24,77,3772,0.00553389856684953,0.0,0.0,0.0,0.0,0.05567338282078473
zone2,line_trip_bus32,77,3772,0.00553389856684953,0.0,0.0,0.0,0.0,0.05567338282078473
zone3,line_trip_bus17,77,3772,0.005814978173002601,0.0,0.0,0.0,0.0007230309457244769,0.04904559915164369
zone3,line_trip_bus24,77,3772,0.005814978173002601,0.29389312977099236,1.0,0.4542772861356932,1.0,0.04904559915164369
zone3,line_trip_bus32,77,3772,0.005814978173002601,0.0,0.0,0.0,0.0,0.04904559915164369
zone4,line_trip_bus17,77,3772,0.003309946957044322,0.0,0.0,0.0,0.0,0.06283138918345706
zone4,line_trip_bus24,77,3772,0.003309946957044322,0.0,0.0,0.0,0.0,0.06283138918345706
zone4,line_trip_bus32,77,3772,0.003309946957044322,0.24522292993630573,1.0,0.3938618925831202,1.0,0.06283138918345706
zone2,der_dropout_bus17,77,3772,0.00553389856684953,0.22647058823529412,1.0,0.36930455635491605,0.9735508394044979,0.06972428419936373
zone2,der_dropout_bus24,77,3772,0.00553389856684953,0.0,0.0,0.0,0.22514495048959524,0.06972428419936373
zone2,der_dropout_bus32,77,3772,0.00553389856684953,0.19076923076923077,0.8051948051948052,0.30845771144278605,0.8545640467697733,0.06972428419936373
zone3,der_dropout_bus17,77,3772,0.005814978173002601,0.021164021164021163,0.05194805194805195,0.03007518796992481,0.4814800787759431,0.04904559915164369
zone3,der_dropout_bus24,77,3772,0.005814978173002601,0.28846153846153844,0.974025974025974,0.44510385756676546,0.9708377518557796,0.04904559915164369
zone3,der_dropout_bus32,77,3772,0.005814978173002601,0.09313725490196079,0.24675324675324675,0.13523131672597866,0.5401351034967153,0.04904559915164369
zone4,der_dropout_bus17,77,3772,0.003309946957044322,0.22039473684210525,0.8701298701298701,0.3517060367454068,0.8784275109831844,0.06283138918345706
zone4,der_dropout_bus24,77,3772,0.003309946957044322,0.0,0.0,0.0,0.037714671330790095,0.06283138918345706
zone4,der_dropout_bus32,77,3772,0.003309946957044322,0.24522292993630573,1.0,0.3938618925831202,0.9822547547892193,0.06283138918345706
