zone,category,n,e_mean,e_median,mismatch_mean,mismatch_median,score_mean,score_median
zone2,attack_other_zone,260,0.0127948765,0.004385542,0.0063330927,0.00050735485,0.014694803,0.0044744215
zone2,attack_own_zone,212,0.006735011,0.005550363,4.3827433e-05,0.001932868,0.0067481594,0.006081159
zone2,der_dropout_bus17,77,0.023706522,0.020628719,0.015950684,0.014114451,0.028491726,0.024848394
zone2,der_dropout_bus24,77,0.0039731,0.003921409,-0.0007920737,-0.000931066,0.003735478,0.0036849105
zone2,der_dropout_bus32,77,0.009219493,0.008862509,-0.005733604,-0.004072067,0.0074994117,0.0070184018
zone2,line_trip_bus17,77,2.8403544,3.051698,2.832236,3.044981,3.6900253,3.9651923
zone2,line_trip_bus24,77,0.026685555,0.03333968,-2.4321933,-2.5934517,-0.7029725,-0.7411727
zone2,line_trip_bus32,77,0.008893715,0.009706619,-1.9157051,-2.0497947,-0.56581783,-0.60524166
zone2,normal,3531,0.0047430773,0.0039296,0.0016215023,0.0010010744,0.005229528,0.0042135986
zone3,attack_other_zone,260,0.0045828563,0.004586094,0.00017802202,0.0011492268,0.004636263,0.0049153036
zone3,attack_own_zone,212,0.008055142,0.0059281737,0.003397087,0.001835702,0.009074268,0.006266962
zone3,der_dropout_bus17,77,0.005602066,0.0058351243,-0.004001322,-0.0026960438,0.004401669,0.0049190354
zone3,der_dropout_bus24,77,0.0130503625,0.013301098,0.008243829,0.009048345,0.015523511,0.0160987
zone3,der_dropout_bus32,77,0.0061759697,0.0061759865,-0.0042908806,-0.0037418408,0.0048887054,0.004695856
zone3,line_trip_bus17,77,0.0056329756,0.0056286915,-0.12363554,-0.1357063,-0.03145769,-0.034672573
zone3,line_trip_bus24,77,20.133476,21.516014,20.124022,21.502459,26.170685,27.966751
zone3,line_trip_bus32,77,0.006438124,0.006412324,-0.6680346,-0.71782476,-0.19397227,-0.20762368
zone3,normal,3531,0.004380271,0.004250877,0.0010830477,0.0011433482,0.004705185,0.0045853844
zone4,attack_other_zone,260,0.0059153475,0.002456074,0.0010127312,-0.0015653432,0.0062191663,0.0018740905
zone4,attack_own_zone,212,0.013651576,0.007192384,0.008290266,0.002236008,0.016138656,0.00692004
zone4,der_dropout_bus17,77,0.0069640502,0.0064989114,-0.0045029935,-0.0043553165,0.0056131515,0.0054691117
zone4,der_dropout_bus24,77,0.0021712757,0.0021179274,-0.004458025,-0.004419136,0.0008338681,0.0008300869
zone4,der_dropout_bus32,77,0.022820378,0.020141529,0.015009016,0.012663642,0.027323086,0.023833554
zone4,line_trip_bus17,77,0.007137162,0.0075401026,-0.5566312,-0.59531,-0.1598522,-0.17114308
zone4,line_trip_bus24,77,0.006262827,0.007182977,-3.9493425,-4.223598,-1.1785399,-1.2596401
zone4,line_trip_bus32,77,3.941013,4.2121034,3.9321313,4.1986713,5.1206527,5.471705
zone4,normal,3531,0.0026098376,0.002373518,-0.0012253796,-0.0011701558,0.0022422238,0.0020092635
