zone,category,n,e_mean,e_median,mismatch_mean,mismatch_median,score_mean,score_median
zone2,attack_other_zone,260,0.010528763,0.003560808,0.0012225112,-0.0008749396,0.010895517,0.0032213777
zone2,attack_own_zone,212,0.0061690807,0.0055253943,-0.0029125283,0.0014964966,0.0052953223,0.005561271
zone2,der_dropout_bus17,77,0.022465538,0.018412879,0.0066116005,0.0048254523,0.024449019,0.019990113
zone2,der_dropout_bus24,77,0.0034110325,0.0033745342,-0.0023608047,-0.0019448202,0.0027027912,0.0028501584
zone2,der_dropout_bus32,77,0.0074093146,0.0075197536,-0.018963413,-0.014120844,0.0017202906,0.0034698588
zone2,line_trip_bus17,77,2.8755465,3.0465841,2.8597941,3.0259206,3.7334845,3.9543605
zone2,line_trip_bus24,77,0.022475433,0.026180418,-3.1529722,-3.3578713,-0.9234163,-0.9618678
zone2,line_trip_bus32,77,0.007993849,0.008427699,-2.2058504,-2.3319075,-0.65376127,-0.6899212
zone2,normal,3531,0.0041779494,0.0034228216,0.00061095797,0.00027363538,0.004361237,0.003496731
zone3,attack_other_zone,260,0.0050304397,0.0048622163,-0.00047799878,0.0010463361,0.0048870402,0.0051048053
zone3,attack_own_zone,212,0.0111817,0.0073446217,0.0055288095,0.00249515,0.012840343,0.00788654
zone3,der_dropout_bus17,77,0.006385002,0.006324237,-0.013527365,-0.010415543,0.0023267919,0.003125659
zone3,der_dropout_bus24,77,0.01754267,0.017242273,0.011974282,0.0124021955,0.021134954,0.021054853
zone3,der_dropout_bus32,77,0.007700871,0.0077486285,-0.012287436,-0.011193031,0.00401464,0.0043891203
zone3,line_trip_bus17,77,0.006183634,0.0057811704,-0.13477601,-0.1411533,-0.034249168,-0.034661245
zone3,line_trip_bus24,77,25.958107,27.709635,25.937933,27.658525,33.739487,36.007195
zone3,line_trip_bus32,77,0.007548075,0.006983283,-0.7735657,-0.81980973,-0.22452164,-0.23586439
zone3,normal,3531,0.005009565,0.0048304168,0.0011336266,0.0013847987,0.005349653,0.0052406946
zone4,attack_other_zone,260,0.008121461,0.0023322566,0.0027439608,-0.0020428617,0.008944649,0.0016389627
zone4,attack_own_zone,212,0.021350965,0.011667974,0.015944295,0.006693095,0.026134253,0.013699802
zone4,der_dropout_bus17,77,0.014067982,0.0148575045,-0.0043731346,-0.0041488446,0.012756042,0.013936363
zone4,der_dropout_bus24,77,0.002344784,0.0024045522,-0.005637775,-0.0047216783,0.00065345137,0.00096258405
zone4,der_dropout_bus32,77,0.038873736,0.032699794,0.0258103,0.019065853,0.046616826,0.038872458
zone4,line_trip_bus17,77,0.013354955,0.014357521,-0.5644739,-0.60470665,-0.15598723,-0.16752917
zone4,line_trip_bus24,77,0.0105658565,0.009798897,-5.093282,-5.464839,-1.5174189,-1.6295607
zone4,line_trip_bus32,77,4.5266585,4.782662,4.511844,4.762855,5.880212,6.2115183
zone4,normal,3531,0.002783348,0.0022921225,-0.0015065166,-0.0015544835,0.0023313928,0.0018218585
